scope,variable,n_minor,n_older,minor_mean,minor_sd,minor_median,older_mean,older_sd,older_median,minor_minus_older,test,statistic,effect_size,effect_size_name,p_value,test_note,p_value_fdr_bh,significant_fdr_0_05
subject_level,sess2_t7_loseswitch,5,11,0.4,0.2850438562747845,0.5,0.5246753246753246,0.26958074597854725,0.5,-0.1246753246753246,welch_t_test,-0.8246576192975412,-0.43006236736331893,hedges_g,0.4352621595633518,,0.9365557811338273,False
subject_level,sess2_t13,5,11,0.72,0.27748873851023215,0.7,0.6090909090909091,0.16403990645294486,0.6,0.11090909090909085,welch_t_test,0.8302201736426086,0.5164754717871791,hedges_g,0.4420788269879805,,0.9365557811338273,False
subject_level,sess1_t12_loseswitch,6,12,0.4666666666666666,0.38005847503304596,0.5833333333333333,0.5976190476190476,0.1806759109196407,0.5857142857142856,-0.130952380952381,welch_t_test,-0.8000027247822655,-0.4797447333331618,hedges_g,0.4534566168221009,,0.9365557811338273,False
subject_level,sess1_t5_loseswitch,6,12,0.5611111111111111,0.2628194705003305,0.5,0.6587301587301587,0.2291868818504696,0.6333333333333333,-0.0976190476190476,welch_t_test,-0.7744235800024181,-0.38704904593269024,hedges_g,0.45867582963693077,,0.9365557811338273,False
subject_level,sess1_t17_loseswitch,6,12,0.376984126984127,0.1960012186242524,0.46428571428571425,0.460515873015873,0.27009327952914386,0.45,-0.08353174603174601,welch_t_test,-0.7476708249605719,-0.3190890303364801,hedges_g,0.4675032435941803,,0.9365557811338273,False
subject_level,sess1_t4,6,12,0.6666666666666666,0.10327955589886445,0.7,0.6083333333333333,0.2353269807709857,0.6499999999999999,0.05833333333333335,welch_t_test,0.7295842013459751,0.2730200519262006,hedges_g,0.47624790463133226,,0.9365557811338273,False
subject_level,sess2_t13_loseswitch,5,11,0.36666666666666664,0.4149966532662911,0.3333333333333333,0.5227272727272726,0.29704776339399314,0.5,-0.15606060606060596,welch_t_test,-0.7573079036589458,-0.44042663053823755,hedges_g,0.4777690390145459,,0.9365557811338273,False
subject_level,sess1_t2_winstay,6,12,0.625,0.3791437722025775,0.625,0.7529761904761906,0.25234444929190614,0.8166666666666667,-0.12797619047619058,welch_t_test,-0.7480942610573897,-0.40923928251270636,hedges_g,0.4778154241212448,,0.9365557811338273,False
subject_level,sess2_t7_winstay,5,11,0.6866666666666666,0.1879716290649558,0.6666666666666666,0.5958874458874458,0.3025535519942975,0.6666666666666666,0.09077922077922085,welch_t_test,0.7317963675249823,0.3124001181580305,hedges_g,0.4781148818978507,,0.9365557811338273,False
subject_level,baseline_max_hr,6,12,97.0,11.882760622010357,92.5,92.75,10.771384649743379,91.5,4.25,welch_t_test,0.7375772301561527,0.3636473348887795,hedges_g,0.4790763677577039,,0.9365557811338273,False
subject_level,sess2_t5,5,11,0.5800000000000001,0.14832396974191328,0.6,0.5181818181818182,0.17786613965666329,0.5,0.06181818181818188,welch_t_test,0.7247177457431294,0.343902119811358,hedges_g,0.48638002763815635,,0.9365557811338273,False
